ID_ESTACION_PUBLICO_ESPECIFICO,TIPO_ESTACIONAMENTO,DESTINACAO_ESPECIFICA,DIA_REGRA_OPERACAO,PERIODO_VALIDO_REGRA_OPERACAO,NUMERO_VAGAS_FISICAS,NUMERO_VAGAS_ROTATIVAS,TEMPO_PERMANENCIA,TIPO_LOGRADOURO,LOGRADOURO,REFERENCIA_LOGRADOURO,DESC_TIPO_DESTINACAO,GEOMETRIA
3370,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,9,45,1 HORA(S),AVENIDA,BARBACENA,ENTRE RUA ARAGUARI E RUA ALVARENGA PEIXOTO,MOTOFRETE,POINT (609862.75 7796095.5)
3373,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,7,70,1 HORA(S),AVENIDA,AFONSO VAZ DE MELO,ENTRE RUA AGNELO MACEDO E RUA BENEDITO SANTOS,MOTOFRETE,POINT (602465.3 7791058)
3373,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,7,35,1 HORA(S),AVENIDA,AFONSO VAZ DE MELO,ENTRE RUA AGNELO MACEDO E RUA BENEDITO SANTOS,MOTOFRETE,POINT (602465.3 7791058)
4354,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,12,120,1 HORA(S),AVENIDA,AFONSO PENA,ENTRE RUA TRIFANA E RUA ALFENAS,MOTOFRETE,POINT (612735.4 7794295.5)
4354,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,12,60,1 HORA(S),AVENIDA,AFONSO PENA,ENTRE RUA TRIFANA E RUA ALFENAS,MOTOFRETE,POINT (612735.4 7794295.5)
3380,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,7,70,1 HORA(S),AVENIDA,PROFESSOR MARIO WERNECK,ENTRE RUA JOSE RODRIGUES PEREIRA E RUA WALTER GUIMARAES FIGUEIREDO,MOTOFRETE,POINT (608330.6 7791577.5)
3380,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,7,35,1 HORA(S),AVENIDA,PROFESSOR MARIO WERNECK,ENTRE RUA JOSE RODRIGUES PEREIRA E RUA WALTER GUIMARAES FIGUEIREDO,MOTOFRETE,POINT (608330.6 7791577.5)
3384,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,14,140,1 HORA(S),AVENIDA,JOAO PINHEIRO,ENTRE RUA DOS GUAJAJARAS E RUA DOS TIMBIRAS,MOTOFRETE,POINT (611316.06 7796305)
3384,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,14,70,1 HORA(S),AVENIDA,JOAO PINHEIRO,ENTRE RUA DOS GUAJAJARAS E RUA DOS TIMBIRAS,MOTOFRETE,POINT (611316.06 7796305)
3404,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,12,120,1 HORA(S),AVENIDA,DO CONTORNO,ENTRE RUA CLAUDIO MANOEL E RUA GONCALVES DIAS,MOTOFRETE,POINT (612493.4 7795376)
