ID_EDESP;TIPO_ESTACIONAMENTO;DESTINACAO_ESPECIFICA;DIA_REGRA_OPERACAO;PERIODO_VALIDO_REGRA_OPERACAO;NUMERO_VAGAS_FISICAS;NUMERO_VAGAS_ROTATIVAS;TEMPO_PERMANENCIA;TIPO_LOGRADOURO;LOGRADOURO;REFERENCIA_LOGRADOURO;BAIRRO;GEOMETRIA
713;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;10;50;1 HORA(S);AVENIDA;AMAZONAS;ENTRE AVE AFONSO PENA E RUA SAO PAULO;CENTRO;POINT (610988.52 7797063.81)
717;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;9;90;1 HORA(S);AVENIDA;OIAPOQUE;ENTRE AVE DO CONTORNO E RUA SAO PAULO;CENTRO;POINT (611107.62 7797680.28)
718;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;9;45;1 HORA(S);AVENIDA;OIAPOQUE;ENTRE AVE DO CONTORNO E RUA SAO PAULO;CENTRO;POINT (611107.62 7797680.28)
740;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;12;120;1 HORA(S);AVENIDA;AFONSO PENA;ENTRE RUA TRIFANA E RUA ALFENAS;SERRA;POINT (612735.40 7794295.64)
741;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;12;60;1 HORA(S);AVENIDA;AFONSO PENA;ENTRE RUA TRIFANA E RUA ALFENAS;SERRA;POINT (612735.40 7794295.64)
983;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;7;35;1 HORA(S);RUA;OURO PRETO;ENTRE RUA DOS GUAJAJARAS E AVE AUGUSTO DE LIMA;BARRO PRETO;POINT (609824.36 7796741.94)
984;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;7;70;1 HORA(S);RUA;OURO PRETO;ENTRE RUA DOS GUAJAJARAS E AVE AUGUSTO DE LIMA;BARRO PRETO;POINT (609824.36 7796741.94)
991;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;21;210;1 HORA(S);RUA;ARAGUARI;ENTRE RUA DOS GOITACAZES E AVE AUGUSTO DE LIMA;BARRO PRETO;POINT (610010.04 7796853.90)
992;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;21;105;1 HORA(S);RUA;ARAGUARI;ENTRE RUA DOS GOITACAZES E AVE AUGUSTO DE LIMA;BARRO PRETO;POINT (610010.04 7796853.90)
786;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;8;80;1 HORA(S);RUA;DOS TIMBIRAS;ENTRE RUA PARACATU E AVE BARBACENA;BARRO PRETO;POINT (609633.67 7796629.40)
