ID_EDESP,TIPO_ESTACIONAMENTO,DESTINACAO_ESPECIFICA,DIA_REGRA_OPERACAO,PERIODO_VALIDO_REGRA_OPERACAO,NUMERO_VAGAS_FISICAS,NUMERO_VAGAS_ROTATIVAS,TEMPO_PERMANENCIA,TIPO_LOGRADOURO,LOGRADOURO,REFERENCIA_LOGRADOURO,BAIRRO,GEOMETRIA
1505,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,,RUA,RIO GRANDE DO SUL,ENTRE RUA DOS TUPIS E AVE BIAS FORTES,CENTRO,POINT (610322.85 7796947.54)
1514,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,7,70,,RUA,SAO PAULO,ENTRE AVE ALVARES CABRAL E AVE BIAS FORTES,LOURDES,POINT (610683.21 7796122.19)
1515,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,7,35,,RUA,SAO PAULO,ENTRE AVE ALVARES CABRAL E AVE BIAS FORTES,LOURDES,POINT (610683.21 7796122.19)
1481,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,20,200,,RUA,DOS TUPINAMBAS,ENTRE AVE AMAZONAS E RUA RIO DE JANEIRO,CENTRO,POINT (611169.64 7797246.66)
1482,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,20,100,,RUA,DOS TUPINAMBAS,ENTRE AVE AMAZONAS E RUA RIO DE JANEIRO,CENTRO,POINT (611169.64 7797246.66)
1488,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,6,30,,RUA,DOS TUPIS,ENTRE RUA ESPIRITO SANTO E RUA RIO DE JANEIRO,CENTRO,POINT (611106.63 7796828.29)
1342,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,20,200,,RUA,DA BAHIA,ENTRE AVE AFONSO PENA E RUA DOS GOITACAZES,CENTRO,POINT (611249.31 7796665.22)
1343,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,20,100,,RUA,DA BAHIA,ENTRE AVE AFONSO PENA E RUA DOS GOITACAZES,CENTRO,POINT (611249.31 7796665.22)
1353,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,9,90,,AVENIDA,RAJA GABAGLIA,ENTRE RUA CACHOEIRA DE MINAS E RUA PROFESSOR BARONI,GUTIERREZ,POINT (609162.47 7794329.19)
1354,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,9,45,,AVENIDA,RAJA GABAGLIA,ENTRE RUA CACHOEIRA DE MINAS E RUA PROFESSOR BARONI,GUTIERREZ,POINT (609162.47 7794329.19)
